Serbian,Russian,Definition
popravni,корректирующий,"Исправительный, относящийся к процессу исправления или улучшения чего-либо."
osvetljenje,освещение,Освещение — это процесс или результат обеспечения света в помещении или на территории.
menstruaciju,менструация,"Менструация — это регулярный физиологический процесс, связанный с отторжением слизистой оболочки матки у женщин."
napuštanje,оставление,"Оставление чего-либо или кого-либо, уход."
utopio,утонул,Утонуть в воде или другой жидкости.
propoved,проповедь,"Речь или текст, содержащий религиозные или моральные наставления."
nailazi,попадается,
srećnica,счастливица,"Счастливый человек или тот, кто испытывает удачу."
suptilno,тонко,"Тонко, деликатно, с нюансами."
laks,свободный,"Легкий, не тяжелый."
zgrešio,согрешил,Совершить ошибку или грех.
gaje,он/она/оно,"Выращивать, заботиться о чем-либо или ком-либо."
покажем,давайте покажем,"Покажу что-то кому-то, демонстрируя или указывая на это."
uklone,удалять,Удалить или устранить что-либо.
povlastice,привилегии,"Привилегия или особое право, предоставляемое кому-либо."
senzacija,ощущение,"Чувство сильного волнения или удивления, часто связанное с чем-то необычным или шокирующим."
prevruće,слишком жарко,"Слишком горячий, вызывающий дискомфорт от высокой температуры."
siromaštva,бедность,"Состояние, при котором у человека или группы людей недостаточно средств для удовлетворения основных жизненных потребностей."
одећу,одежда,"Одежда, которую носят люди."
savana,саванна,"Тропическая или субтропическая экосистема с травянистой растительностью и редкими деревьями, обычно расположенная в районах с сезонными дождями."
arheolog,археолог,"Человек, занимающийся изучением древних культур и цивилизаций через раскопки и анализ артефактов."
namučio,пострадал,Заставить кого-то сильно потрудиться или страдать.
ispravka,исправление,Исправление ошибки или неточности.
meštani,местные жители,Житель определённого места или населённого пункта.
beznadežan,безнадежный,"Безнадежный; лишенный надежды, без перспектив на улучшение."
nesposobnost,некомпетентность,Неспособность — это отсутствие способности или возможности выполнять какую-либо деятельность или задачу.
uporedi,сравнивать,"Сравнить два или более объекта, чтобы выявить их сходства и различия."
posumnja,подозрение,"Сомневаться в чем-либо, испытывать недоверие."
bris,мазок,
bespomoćni,беспомощный,"Беспомощный — это состояние, когда человек не может справиться с трудностями или защитить себя."
bogatstvu,богатство,"Состояние, обладание большим количеством материальных или нематериальных ценностей."
napune,заполнить,Наполнить чем-либо или довести до полного объема.
gravitaciju,гравитация,"Сила, притягивающая объекты друг к другу, особенно к центру Земли."
pilića,куры,"Цыплёнок, обычно молодой, который выращивается для мяса."
uzdiše,вздохи,"Вздыхать, издавать звук, выражающий печаль, усталость или облегчение."
trkamo,мы гоняемся,"Бежать быстро, стремительно двигаться."
operater,оператор,"Человек, управляющий или контролирующий работу оборудования или системы."
ćoni,сапоги,
mikro,микро,"Маленький, очень маленький по размеру или количеству."
вратила,валы,"Вернулась, возвратилась."
banket,банкет,"Праздничный обед или ужин, часто с большим количеством гостей и угощений."
posveti,посвящать,"Посвятить - это отдать что-то или кого-то на служение, использование или в честь кого-либо."
posluša,подчиняться,Слушать и выполнять указания или просьбы.
revolveraš,стрелок,"Человек, который использует револьвер или является мастером в стрельбе из него."
znoji,потеет,"Потеть, выделять пот."
spasavanja,спасает,Спасение от опасности или бедствия.
prevazilazi,превосходит,"Превосходить, выходить за пределы чего-либо, справляться с чем-то."
usisivač,пылесос,"Устройство для уборки, которое всасывает пыль и грязь с поверхности."
zloban,вредоносный,"Злой, коварный, склонный к злым поступкам."
odmaralište,прибегнуть,"Место для отдыха и восстановления сил, часто расположенное на природе или у воды."
prevazići,преодолеть,"Превосходить, преодолевать, выходить за пределы чего-либо."
venac,венок,"Венец — это круглый или кольцевой элемент, часто из цветов или листьев, используемый в качестве украшения или символа."
larve,личинки,"Молодая форма насекомого, которая развивается из яйца и предшествует стадии куколки или взрослой особи."
obaveštenja,уведомления,Сообщение или уведомление о чем-либо.
doti,дать,
савет,совет,"Рекомендация или совет, даваемый кому-либо для помощи в принятии решения."
tapete,обои,"Обои — это материал, используемый для покрытия стен в интерьере."
nemir,беспорядки,"Беспокойство, тревога или состояние внутреннего смятения."
načuo,подслушано,"Умолкнуть, перестать говорить или издавать звуки."
razni,различный,"Разнообразный, различный, состоящий из разных элементов."
steže,затягивает,Сжимать или удерживать что-либо в узком состоянии.
češalj,гребень,Расческа для укладки волос.
fang,клык,"Клык — это острый зуб, обычно у хищных животных, используемый для захвата и разрывания пищи."
sjedalo,сиденье,"Место для сидения, обычно с подлокотниками и спинкой."
gram,грамм,"Единица измерения массы, равная одной тысячной килограмма."
čeri,вишни,
ponovni,повторный,"Повторяющийся, происходящий снова."
pike,точки,Щука — пресноводная хищная рыба с длинным телом и острыми зубами.
kupnju,покупка,Приобретение чего-либо за деньги.
ishranu,питание,"Питание, процесс получения и усвоения пищи организмом."
turska,турецкий,Турецкий; относящийся к Турции или её культуре.
diamond,алмазы,"Алмаз — это редкий и ценный минерал, состоящий из углерода, обладающий высокой твердостью и блеском."
naplaćuje,обвинения,Взимать плату за услуги или товары.
pustoš,пустошь,"Опустошенное или безлюдное пространство, часто ассоциируемое с отсутствием жизни или ресурсов."
kontra,прилавок,Противоположное действие или ответ на что-либо.
vegeta,растительность,"Приправа, состоящая из смеси овощей, соли и специй, используемая для улучшения вкуса блюд."
jata,стаи,"Скопление птиц или животных, движущееся вместе."
licemer,лицемер,"Лицемер — человек, который притворяется добрым или честным, скрывая свои истинные намерения."
drvena,деревянный,Состоящий из дерева или имеющий его свойства.
cugu,выпивка,"Напиток, обычно алкогольный, употребляемый в неформальной обстановке."
izbija,извергается,Выбивать или выталкивать что-либо с силой.
изгледају,они выглядят,"Выражение, описывающее внешний вид или облик чего-либо."
rukav,рукав,"Часть одежды, закрывающая руку."
impresionira,впечатляет,Вызвать сильное впечатление на кого-либо.
izlog,витрина,"Витрина магазина, предназначенная для демонстрации товаров."
okretanje,поворот,Поворот или вращение вокруг оси.
besmislen,бессмысленный,"Бессмысленный; не имеющий смысла, нелогичный."
naivno,наивно,"Наивно — это состояние или качество, характеризующееся простодушием, отсутствием недоверия и склонностью верить в хорошее."
fanatik,фанатик,"Человек, проявляющий чрезмерную преданность или увлечение какой-либо идеей, верой или деятельностью."
izbriši,удалить,Удалить или стереть что-либо.
zamrzivač,морозильник,Устройство для замораживания продуктов и поддержания низкой температуры.
komisiju,комиссия,"Орган, состоящий из группы людей, назначенных для выполнения определённых задач или принятия решений."
dobrovoljci,волонтеры,"Человек, который участвует в чем-либо по собственному желанию, без принуждения."
трудна,беременная,"Состояние женщины, ожидающей рождения ребенка."
horizont,горизонт,"Линия, где земля или море кажутся встречаться с небом."
ubrza,ускорить,Ускорить процесс или действие.
nesigurno,неуверенно,"Неопределённый, вызывающий сомнения или страх."
upravljanja,управление,Управление — это процесс организации и координации действий для достижения определённых целей.
obećavajuće,многообещающий,"обещающий, многообещающий."
uzoran,образцовый,"Образцовый, идеальный, служащий примером для подражания."
sandale,сандалии,"Обувь с открытым носом и задником, обычно на плоской подошве."
steroide,стероиды,"Стероид — это органическое соединение, обладающее специфической структурой и часто имеющее гормональные или лекарственные свойства."
žila,вена,"Жила — это тонкая трубка или структура, по которой течет жидкость, например, кровь в организме."
talk,тальк,Разговор или обмен мыслями между людьми.
barker,зазывала,
zabrinjavajuće,тревожно,Вызывающий беспокойство или тревогу.
izmisli,изобретать,Придумать что-то новое или вымышленное.
kilogram,килограмм,"Единица измерения массы, равная 1000 граммам."
taco,тако,Поднос для сервировки пищи или напитков.
krijumčarenje,контрабанда,"Контрабанда, незаконный ввоз или вывоз товаров через границу."
чекамо,мы ждем,"Ожидаем, ждем."
udovac,вдовец,"Человек, потерявший супругу и не вступивший в новый брак."
nehata,халатность,
nepromišljeno,бездумно,"Необдуманный, действующий без размышлений или предосторожностей."
pipa,трубка,Трубка или шланг для подачи жидкости.
zvezdice,звезды,"Звёздочка — это маленькая звезда или символ в виде звезды, часто используемый в текстах и графике."
prdež,пердеть,
обзиром,учитывая,"С учетом, принимая во внимание."
očuvanje,сохранение,Сохранение или защита чего-либо от разрушения или утраты.
etički,этический,"Относящийся к этике, моральным нормам и принципам."
dospe,должный,достигнуть определённого места или состояния.
telefonira,разговаривает по телефону,Звонить по телефону.
ruga,издевательство,Высмеивать или насмехаться над кем-либо.
vešto,умело,"Умело, искусно, с мастерством."
pripravnik,стажер,"Стажёр, обучающийся на практике в какой-либо профессии или специальности."
дају,они дают,"Даёт, предоставляет или передаёт что-либо кому-либо."
neslaganja,разногласия,"Несогласие, разногласие или отсутствие согласия между людьми или мнениями."
gledaoci,зрители,"Зритель, человек, который смотрит что-либо, например, спектакль или фильм."
krabe,крабы,
posluje,делает бизнес,Заниматься бизнесом или коммерческой деятельностью.
sestrinstva,женские общества,"Сестринство — это сообщество или связь между сестрами, основанная на родственных или духовных отношениях."
oklevao,колебался,Сомневаться или колебаться в принятии решения.
teritorij,территория,"Участок земли, который принадлежит определённому государству, организации или индивидууму."
neprijateljska,враждебный,"Враждебный, агрессивный, относящийся к противнику."
kokos,кокос,"Кокос — это плод кокосовой пальмы, имеющий жесткую оболочку и съедобную мякоть."
himnu,гимн,"Музыкальное произведение, обычно торжественное, которое служит символом государства, организации или группы."
tramvaj,трамвай,"Трамвай — это городской транспорт, который движется по рельсам и обычно используется для перевозки пассажиров."
organizator,организатор,"Лицо или группа, отвечающие за планирование и проведение мероприятия."
koral,коралл,"Коралл — это морское животное, образующее колонии и создающее известковые структуры, часто встречающееся в тропических водах."
stolar,плотник,"Мастер, занимающийся изготовлением и ремонтом деревянной мебели и конструкций."
revanš,матч-реванш,"Возвратный матч или игра, в которой одна команда или игрок пытается отомстить за предыдущее поражение."
hvatanja,ловля,Процесс захвата или ловли чего-либо.
jami,яма,"Яма — это углубление в земле, обычно образованное естественным образом или в результате человеческой деятельности."
otkrovenje,откровение,"Откровение — это внезапное осознание или открытие, часто связанное с духовным или религиозным опытом."
dobrica,хороший человек,
гладан,голодный,Голодный; испытывающий чувство голода.
otputovao,путешествовал,Уехать в путешествие или на длительный срок.
otprati,сопровождать,Сопровождать кого-либо до места назначения.
улици,улицы,"Улица — это общественное пространство, предназначенное для движения транспорта и пешеходов."
izdahni,выдохнуть,"Издать последний вздох, умереть."
dodeli,назначать,"Предоставить что-либо кому-либо, распределить или назначить."
roditeljski,родительский,Относящийся к родителям или родительству.
liže,облизывает,"Лизать — это двигать языком по поверхности чего-либо, чтобы ощутить вкус или текстуру."
drvce,дерево,Маленькое дерево или кустарник.
senor,сеньор,
proizvođač,производитель,"Производитель — это лицо или компания, занимающаяся созданием и выпуском товаров."
ultimatum,ультиматум,"Окончательное требование, выдвигаемое одной стороной другой с указанием срока для выполнения."
klinger,прилипчивый,
svinjac,свинарник,Свинарник для свиней.
pin,приколоть,"Штифт или игла, используемая для скрепления или закрепления предметов."
tajnost,секретность,"Состояние или качество того, что скрыто от других, недоступно для общего знания."
klade,журналы,"Бревно или большая деревянная часть, используемая для строительства или в качестве топлива."
beznačajno,незначительно,Не имеющий значимости или важности.
analizira,анализы,"Анализировать - это исследовать, разбирать и оценивать составные части чего-либо для лучшего понимания."
miligrama,миллиграммы,"Единица измерения массы, равная одной тысячной грамма."
markiz,маркиз,"Знатный титул в европейской аристократии, обычно выше графа и ниже герцога."
hung,повешенный,Подвешенный или висящий в воздухе.
olova,вести,"Тяжёлый металл с символом Pb, используемый в производстве аккумуляторов, свинца и других сплавов."
zemaljski,земной,"Земной, относящийся к земле или материальному миру."
darling,милый,Возлюбленный или любимый человек.
šutira,пинки,"Ударять ногой по чему-либо, обычно в спортивном контексте."
požuda,похоть,"Страстное желание или влечение к чему-либо, часто связанное с сексуальным влечением."
prvenstveno,в первую очередь,"Прежде всего, в первую очередь."
teretana,спортзал,"Место, оборудованное для занятий физической культурой и спортом, обычно с тренажерами и свободными весами."
pojedinac,индивидуальный,"Индивид, отдельный человек, рассматриваемый отдельно от группы."
demonstraciju,демонстрация,"Публичное выражение мнения или протеста, часто в форме собрания или шествия."
državljanin,гражданин,"Гражданин — это лицо, имеющее права и обязанности в государстве."
devetnaest,девятнадцать,"Число, следующее за восемнадцатью и предшествующее двадцати."
razgledanje,осмотр достопримечательностей,Осмотр достопримечательностей или изучение местности.
konsultant,консультант,"Специалист, предоставляющий советы и рекомендации в определенной области."
dobrotvorna,благотворительный,"Благотворный, приносящий пользу или помощь другим."
rakun,енот,"Маленькое млекопитающее с характерной маской на лице и длинным пушистым хвостом, обитающее в основном в Северной Америке."
galaksiju,галактика,"Система звезд, газа и пыли, связанная гравитацией и образующая единое целое."
stanovnik,резидент,Житель определённой местности или населённого пункта.
proliv,диарея,"Кратковременное, сильное выделение жидкости, обычно связанное с болезнью или расстройством пищеварения."
nizvodno,вниз по течению,Вниз по течению реки или потока.
вечери,вечера,"Время суток после дня, когда обычно наступает темнота."
romantika,романтика,"Романтика — это чувство или атмосфера, связанная с любовью, мечтами и идеализацией."
pogreši,совершить ошибку,"Ошибиться, сделать ошибку или неверный выбор."
mig,подмигивание,Миг — это очень короткий промежуток времени.
neugodnosti,неудобство,"Неприятное ощущение или ситуация, вызывающая дискомфорт."
ananas,ананас,Сладкий тропический фрукт с колючей коркой и сочной мякотью.
gubici,потери,"Утрата чего-либо, потеря."
netaknut,нетронутый,"Неповреждённый, не тронутый, сохранивший свою целостность."
tipični,типичный,"Типичный — это характерный, свойственный какому-либо классу, группе или явлению."
astmu,астма,"Болезненное состояние дыхательных путей, характеризующееся затруднением дыхания и приступами удушья."
zujanje,жужжание,"Звук, напоминающий жужжание, издаваемый насекомыми или другими источниками."
povraćaj,возвращать деньги,"Возврат чего-либо, особенно денег или товаров."
оним,"к тому, что",
oličenje,воплощение,"Олицетворение, воплощение чего-либо в конкретной форме или образе."
predvidi,предсказывать,Предвидеть — это предугадывать или предсказывать что-либо заранее.
svećice,свечи зажигания,"Свеча маленького размера, обычно используемая для освещения или в ритуалах."
garant,гарант,"Гарант — это лицо или организация, обеспечивающее выполнение обязательств или условий договора."
strelci,лучники,"Стрелец — это человек, который стреляет из лука или огнестрельного оружия."
hiper,гипер,Состояние или качество чрезмерной активности или возбуждения.
surogat,суррогатная мать,"Замена или подделка чего-либо, обычно менее качественная."
hejl,град,
avionske,самолеты,Относящийся к самолетам или авиации.
temperament,темперамент,"Темперамент — это совокупность индивидуальных психических свойств, определяющих динамику и характер эмоциональных реакций человека."
neprirodno,неестественный,"Неестественный, противоречащий природе."
uplaše,пугать,"Напугать, вызвать страх или испуг у кого-либо."
magnetno,магнитный,Относящийся к магниту или обладающий магнитными свойствами.
igrat,играть,"Играть - это участвовать в игре или развлекательной деятельности, проявляя активность и взаимодействие."
brineta,брюнетка,Женщина с темными волосами.
markiza,маркиза,"Женщина, занимающая титул маркиза, который является благородным званием в некоторых европейских странах."
krojač,портной,"Профессионал, занимающийся пошивом и ремонтом одежды."
pseća,собачий,"Собачий, относящийся к собакам."
propovednik,проповедник,"Проповедник — это человек, который проповедует религиозные учения и наставления."
nevestu,невеста,"Невеста — это женщина, которая собирается выйти замуж или только что вышла замуж."
užad,веревки,"Веревка или шнур, используемый для связывания или поддержания чего-либо."
detaljan,подробный,"Подробный, тщательный, содержащий много деталей."
preciznost,точность,"Точность, аккуратность и строгость в выполнении чего-либо."
barikade,баррикады,"Баррикада — это временное сооружение, созданное для защиты или блокирования дороги, часто используемое в условиях конфликта."
kancelar,канцлер,"Офисное помещение или учреждение, где ведется делопроизводство и административная работа."
kolt,жеребенок,
kirka,кирка,
samici,одиночное заключение,"Самка животного, особенно в контексте рыб или птиц."
izvođač,исполнитель,"Исполнитель, который выполняет музыкальные произведения или другие виды искусства."
ludače,сумасшедший человек,Сумасшедшая женщина или девушка.
zagreva,разогревается,"Нагревать что-либо, чтобы повысить его температуру."
istrčao,выбежали,Выбежать или быстро выйти из какого-либо места.
debeloguzi,толстая задница,
elise,пропеллеры,
trupla,трупы,"Тело, физическая форма человека или животного."
мишљење,мнение,Мнение или суждение о чем-либо.
pušiona,минет,
kolumnu,столбец,"Статья или раздел в газете, журнале или другом печатном издании, посвященный определенной теме."
hrast,дуб,Дерево семейства буковых с крепкой древесиной и крупными листьями.
centralnu,центральный,Центральный; относящийся к центру или находящийся в центре.
inicijale,инициалы,"Начальный, исходный элемент или символ, используемый для обозначения чего-либо."
nesposobna,некомпетентный,Неспособный означает не обладающий необходимыми качествами или способностями для выполнения какой-либо задачи.
umor,усталость,Состояние физической или умственной усталости.
невољи,неприятности,"Неудача или трудность, с которой сталкивается человек."
izdržava,терпит,"Поддерживать, обеспечивать существование или жизнедеятельность кого-либо или чего-либо."
odjavljuje,выходит из системы,Отменять регистрацию или выходить из системы.
odležao,отбывал срок,Отлежать — это дать чему-либо время для созревания или улучшения качества.
laska,лесть,"Льстить, говорить комплименты с целью угодить или добиться расположения."
mučno,болезненно,"Трудный, тяжелый, вызывающий страдания или беспокойство."
kanadski,канадский,"Канадский — относящийся к Канаде или её культуре, языку, населению."
republikanac,республиканец,Член или сторонник республиканской партии или республиканского движения.
imitacija,имитация,"Подражание или воспроизведение чего-либо, часто с целью создания иллюзии оригинала."
sisara,млекопитающее,"Млекопитающее, относящееся к классу животных, которые кормят своих детенышей молоком."
borilačke,боевые искусства,Относящийся к боевым искусствам или борьбе.
zbližili,собрались вместе,"Сделать ближе, установить более тесные отношения или связь."
federalcima,федералам,
узмите,возьми это,Возьмите.
требаће,понадобится,
видећемо,посмотрим,Увидим в будущем.
женом,с женщиной,
strastven,страстный,Страстный; полный сильных эмоций или желаний.
tin,олово,"Металл серебристо-белого цвета, используемый для покрытия других металлов и в производстве сплавов."
šejk,встряхнуть,"Коктейль, обычно состоящий из молока, мороженого и фруктов или других добавок, взбитый до однородной массы."
suzavac,слезоточивый газ,"Газ, вызывающий слезотечение, используемый для разгона толпы или в качестве средства самообороны."
naušnice,серьги,"Украшение для ушей, обычно в виде кольца или подвески."
pogubio,казнен,"Потерять, уничтожить или привести к гибели."
verziji,версия,"Версия — это одна из форм или вариантов чего-либо, часто используемая для обозначения изменений или обновлений."
navigaciju,навигация,Процесс определения местоположения и направления движения с использованием различных методов и инструментов.
republici,республика,"Государственное образование, имеющее собственные органы власти и управление."
imun,иммунный,
analitičar,аналитик,"Специалист, занимающийся анализом данных, информации или процессов."
osvetli,освещать,"Осветить - сделать что-то ярким или видимым, обеспечив свет."
tajanstven,таинственный,"Загадочный, скрывающий свои истинные намерения или природу."
ajkulu,акула,"Большая морская рыба с острыми зубами, известная своей хищной природой."
rasizam,расизм,"Идеология или практика, основанная на убеждении в превосходстве одной расы над другой."
iscrpljujuće,изнурительно,"Изнуряющий, утомляющий, приводящий к физическому или эмоциональному истощению."
saosećanja,сострадание,Состояние понимания и сопереживания чувствам и переживаниям другого человека.
sociopata,социопат,"Лицо, страдающее социопатией, характеризующееся антисоциальным поведением, отсутствием эмпатии и нарушением социальных норм."
hepatitis,гепатит,"Воспаление печени, часто вызванное вирусной инфекцией или токсическими веществами."
raščisti,убрать,"Убрать, очистить от лишнего или ненужного."
pitom,приручить,"Прирученный, одомашненный, не дикий."
bong,бонг,"Устройство для курения, обычно состоящее из трубки с водой, предназначенное для фильтрации дыма."
ljulja,качать,"Качать или колебать что-либо, обычно в горизонтальной плоскости."
biljni,травяной,
harbor,гавань,"Место, где суда могут укрываться от непогоды и загружаться или разгружаться."
izdavanje,выдача,"Издание или публикация чего-либо, например, книги или документа."
lan,лен,
zagrobni,загробная жизнь,Относящийся к загробной жизни или смерти.
kvantna,квантовый,Относящийся к квантам или квантовой механике.
belkinja,белая женщина,
paralizovan,парализованный,"Парализовать — это лишить возможности двигаться или чувствовать, вызвать паралич."
tiranin,тиран,"Деспот, жестокий правитель, использующий силу и угнетение для контроля над людьми."
спавање,спящий,"Состояние отдыха и восстановления организма, характеризующееся снижением активности и сознания."
dželat,палач,Исполнитель смертного приговора.
mučenik,мученик,"Человек, который страдает или умирает за свои убеждения, веру или идеалы."
žešće,более яростно,"Сильно, интенсивно, с большой энергией или страстью."
tuna,тунец,"Большая морская рыба семейства скумбриевых, ценимая за мясо."
rasistički,расист,Относящийся к расизму или основанный на расовых предрассудках.
oklevanja,колебание,Неопределенность или колебание в принятии решения.
mentalnu,умственный,"Относящийся к разуму, психике или умственным процессам."
mimoišli,прошел мимо,
naplate,выставление счетов,Процесс получения денег за товары или услуги.
броду,на корабль,
sifilis,сифилис,"Заболевание, передающееся половым путем, вызываемое бактерией Treponema pallidum, характеризующееся различными стадиями и симптомами."
nedužni,невиновный,"Невиновный, не совершивший преступления или проступка."
matura,выпускной,"Выпускной экзамен, который сдают ученики в конце средней школы."
ohrabrujuće,обнадеживающий,"ободряющий, вдохновляющий, придающий уверенность."
cape,шляпа,
naplati,заряжать,Взимать плату или компенсацию за услуги или товары.
obojeni,цветной,"Означает ""окрашенный"" или ""имеющий цвет""."
pradeda,прадед,Прадед — это отец деда.
linden,липа,"Липа — это дерево семейства мальвовых, известное своими ароматными цветами и мягкой древесиной."
zaključavanje,блокировка,Заключение или процесс блокировки чего-либо.
obruč,обруч,"Круглый предмет или конструкция, обычно из металла или пластика, используемая для различных целей, включая спорт и игры."
instalacije,инсталляции,"Установка или размещение оборудования, программного обеспечения или систем."
fašista,фашист,"Политический деятель или сторонник фашизма, идеологии, основанной на авторитаризме и национализме."
mentol,ментол,"Ментол — это органическое соединение, получаемое из мяты, обладающее охлаждающим эффектом и характерным запахом."
књиге,книги,"Книги — это печатные или рукописные произведения, содержащие текст и предназначенные для чтения."
definiše,определяет,"Определять, устанавливать значение или смысл чего-либо."
kateter,катетер,"Трубка, вводимая в полость тела для вывода или введения жидкостей."
otkrit,обнаруженный,"Означает сделать известным, выявить или обнаружить что-то."
dvojca,дуэт,"Два человека или предмета, объединённых в одно целое."
ugrušak,сгусток,
broker,маклер,"Посредник, который осуществляет сделки между покупателями и продавцами, часто в финансовых или инвестиционных сферах."
modernu,современный,"Современный, относящийся к настоящему времени или новейшим тенденциям."
hakovao,взломан,Взломать компьютерную систему или сеть с целью получения несанкционированного доступа к данным.
